CustomerID,FirstName,LastName,Email,Phone,City,State,SignupDate
1,Barkha,Narula,tsen@example.net,2858509666,Ichalkaranji,Uttar Pradesh,2023-12-28
2,Bishakha,Pandit,suhani97@example.com,3113760833,Ulhasnagar,Punjab,2025-10-15
3,Tarak,Sawhney,nadkarnialexander@example.com,7632560068,Bhilwara,Goa,2026-04-21
4,Mason,Natarajan,harsh00@example.com,0955577677,Junagadh,Uttarakhand,2023-12-18
5,Ekalinga,Dutt,ganeshvasatika@example.org,0278049200,Bidar,Kerala,2024-09-27
6,Lavanya,Pau,imammen@example.com,8482393611,Vijayawada,Assam,2024-07-06
7,Chaaya,Kashyap,snehaprasad@example.org,6410967525,Satna,Telangana,2023-11-20
8,Darsh,Acharya,rajeshrisunder@example.org,3730763383,Srikakulam,Kerala,2026-06-28
9,Krish,Choudhry,qaringokhale@example.org,3229745902,Bhagalpur,Nagaland,2024-08-07
10,Dhriti,Mangat,rhalder@example.com,2289977286,Mahbubnagar,Arunachal Pradesh,2024-11-02
11,Maanav,Merchant,pallzashil@example.net,1643189908,Srikakulam,Uttarakhand,2023-09-26
12,Agastya,Devan,dhriti51@example.net,7246830404,Raurkela Industrial Township,Gujarat,2026-04-21
13,Aishani,Memon,hben@example.org,8920026422,Jhansi,Rajasthan,2023-08-14
14,Yug,Salvi,wdhawan@example.net,1285043822,Nellore,Goa,2025-05-24
15,Yamini,Gopal,mbutala@example.org,3302114369,Nangloi Jat,Arunachal Pradesh,2025-09-29
16,Siddharth,Goswami,shivani07@example.com,3297533912,Narasaraopet,Gujarat,2023-12-25
17,Advik,Nair,onagarajan@example.com,6243649055,Mango,Karnataka,2023-12-26
18,Ekapad,Chander,andrew30@example.net,5896561597,Bahraich,Mizoram,2024-08-16
19,Ijaya,Borde,aryachakradhar@example.com,9640156728,Gwalior,Tripura,2023-11-28
20,Ikshita,Patla,vyanjana89@example.org,5301467470,Siwan,Karnataka,2026-03-09
21,Omisha,Acharya,zgarg@example.com,7778485711,Bidar,Mizoram,2024-08-05
22,Ranbir,Rastogi,lavanya12@example.org,2092078394,Ratlam,West Bengal,2025-11-04
23,Aarush,Thakkar,blall@example.net,1097094051,Bidhannagar,Assam,2024-07-06
24,Pooja,Mital,qarin45@example.net,2290055608,Pondicherry,Gujarat,2024-04-02
25,Chaitanya,Bhalla,haldervidhi@example.com,2918380130,Gopalpur,Tamil Nadu,2025-04-26
26,Nathan,Mahajan,kanand@example.org,4094169198,Hajipur,Gujarat,2026-03-12
27,Anvi,Bail,anvikaur@example.com,6529649399,Gopalpur,Himachal Pradesh,2025-11-17
28,Dalbir,Deo,atharvkhurana@example.org,9449317821,Anantapur,Maharashtra,2024-09-07
29,Wahab,Gaba,spai@example.com,6330683015,Bokaro,Assam,2025-12-19
30,Harinakshi,Chandra,ekbal05@example.org,8549519676,Mehsana,Himachal Pradesh,2025-12-26
31,Dhriti,Vaidya,tanejajeet@example.org,6488132773,Chittoor,Jharkhand,2025-12-15
32,Eta,Ramachandran,shroffforum@example.org,2093765907,Gulbarga,Andhra Pradesh,2025-10-21
33,Ekalinga,Bora,wrideshthakkar@example.com,2543012005,Dehradun,Uttar Pradesh,2024-05-08
34,Lakshmi,Chaudhuri,manan28@example.net,5267267575,Gudivada,Rajasthan,2026-06-01
35,Patrick,Thakkar,luthrazaitra@example.com,5005930875,Karaikudi,Punjab,2023-11-18
36,Ishaan,Dey,amairahayer@example.com,9584140391,Secunderabad,Uttarakhand,2025-02-18
37,Frederick,Sahni,fgandhi@example.net,8199088022,Kamarhati,Uttar Pradesh,2025-10-04
38,Ishaan,Balasubramanian,ndugal@example.com,3481093653,Nandyal,Himachal Pradesh,2023-12-04
39,Dayita,Nath,cbadal@example.net,9339127379,Thrissur,Punjab,2025-12-04
40,Yashica,Dar,matthewsem@example.org,6660266805,Berhampore,Himachal Pradesh,2026-03-24
41,Ansh,Hegde,anshjayaraman@example.org,4964819790,Alwar,Chhattisgarh,2025-10-04
42,Rehaan,Bansal,tarahritik@example.com,5937617989,Muzaffarpur,Haryana,2025-02-27
43,Jyoti,Gala,golepushti@example.com,5438552737,Bidhannagar,Karnataka,2025-10-16
44,Yasti,Barad,liam07@example.com,2767370175,Hyderabad,Goa,2026-04-21
45,Gautami,Sha,sanghvianmol@example.org,5319394791,Chandigarh,Jharkhand,2024-04-24
46,Indrajit,Randhawa,sarakhurana@example.com,3987786938,Jehanabad,Jharkhand,2026-02-08
